gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
3257,87,0,2795,32,68665,14,103,56918,21064,634,0,1374,1
2929,133,0,3613,43,95930,56,58,149502,10130,979,10,2302,0
1999,79,1,2248,18,40970,28,66,70231,4652,549,8227,1480,0
2804,106,0,3207,36,68820,27,47,79396,21075,674,395,1694,1
2836,144,0,3599,40,121220,48,52,158146,14525,1609,1332,3112,1
1849,105,0,2619,22,55980,59,46,90437,2964,499,481,2087,0
2088,115,0,3102,20,61365,63,38,104673,2909,599,1408,1996,0
2643,124,0,3555,40,72160,26,41,100000,21124,736,12297,2027,1
2101,109,0,2667,23,66960,49,52,74737,5273,656,5007,2069,0
1655,75,0,1903,12,33795,53,50,76654,1938,237,0,1526,0
2791,137,0,3815,67,91040,51,57,154596,24471,734,1469,2383,1
1947,88,0,2140,16,49985,49,49,81917,2584,502,400,1822,0
5199,150,1,9061,26,131385,58,32,121911,5561,442,5932,1531,0
2397,122,0,2866,24,88200,36,51,112321,16475,1077,6992,2372,0
2460,139,0,2954,25,115805,73,64,217960,10267,1325,10833,3250,0
6091,150,0,8220,34,161360,26,42,143473,15698,667,0,1719,1
2038,89,1,2153,17,55095,42,70,67141,6221,538,4045,1889,0
2312,75,1,2337,36,44095,19,50,50351,6598,384,4087,1238,1
5295,150,0,7475,44,152125,41,54,165052,10548,457,935,2065,1
1949,79,0,2034,8,47535,31,43,49193,9186,573,3911,1576,0
2031,112,0,2771,25,61785,52,27,77233,1771,557,5789,2112,0
2891,130,1,3131,34,138975,63,26,198477,12919,1562,25759,3525,0
3113,148,0,3840,41,130290,25,80,151503,25210,1687,15938,2957,1
2827,140,0,3782,41,123760,56,73,178955,12863,1317,0,2757,0
3078,141,0,4203,50,99395,41,69,114407,25065,1023,0,2222,1
2854,124,0,3667,48,72840,35,49,89131,23532,750,1288,1932,1
