gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
1656,70,1,1785,9,30425,52,12,51869,1858,207,677,1662,0
6032,140,0,8447,22,91265,18,12,73935,17321,454,9403,1086,1
2783,138,0,3690,29,107520,45,93,141075,12035,1335,510,2539,0
5296,150,0,9126,42,131680,39,50,149287,8469,534,2000,1647,0
2385,126,1,3088,30,77885,62,69,182851,8836,963,3191,2396,0
5067,144,0,7946,28,98165,20,25,67911,16529,331,4504,1291,1
2765,111,0,3234,38,75925,21,57,76429,22452,746,525,1866,1
2653,139,0,3947,48,89025,45,39,160174,13944,868,6782,2359,1
2786,81,0,2732,33,46465,18,69,61379,16267,454,0,1211,1
2777,150,0,3735,62,172665,86,56,293723,21788,2078,10545,5076,0
2581,107,0,2919,53,76095,28,104,105999,24844,521,2117,1897,1
4909,150,0,9216,23,110315,47,16,172048,2779,454,3391,1582,0
2991,119,0,3331,35,88295,31,65,102400,22228,862,0,2043,1
2361,74,0,2239,25,46940,11,48,58581,14821,373,8132,1278,1
2684,150,0,3905,49,113125,72,54,203623,15459,1116,400,3085,0
2263,122,0,2754,13,88775,34,34,67758,3981,1067,1354,2493,0
2993,148,1,4041,62,104860,69,31,197567,17369,1003,10525,2844,0
3458,110,0,3722,40,77510,31,43,93180,20160,609,1886,1593,1
2154,114,0,2889,17,74175,38,45,67470,6047,821,133,2158,0
2380,134,0,3222,27,90950,44,78,94079,3904,1307,1569,2679,0
2891,122,1,3522,42,89630,45,44,117837,22723,785,240,2170,1
2821,149,0,3616,41,126665,39,64,207827,8112,1586,4077,3133,0
2687,142,0,3357,40,107020,31,61,147861,22036,1079,8791,2802,1
2534,92,0,2859,28,58345,19,107,65292,17930,630,3454,1486,1
2884,145,0,4250,44,109825,58,64,179116,8599,1738,571,2689,0
2157,100,0,2447,19,59380,43,55,88917,13421,771,8435,1998,0
2358,128,1,3298,48,78760,46,33,134763,14499,475,3711,2261,1
2742,133,0,3409,28,96405,27,56,83046,24408,1294,3996,2385,1
3036,134,0,3740,50,97130,43,68,167073,30518,1161,360,2399,1
6154,144,0,9008,36,106225,13,32,91049,12620,425,15453,1123,1
3061,149,0,3752,57,150225,55,90,233365,21245,1726,1351,3494,1
2609,125,0,3670,41,73910,52,51,110633,10297,641,11917,1980,1
2101,86,1,2425,27,53910,13,69,50298,9263,520,3982,1564,1
2883,138,0,3541,33,112450,51,40,112837,12078,1417,1293,2640,0
3556,150,0,4840,50,117850,79,35,225060,24656,1026,11291,2783,0
2759,107,0,3056,45,71105,23,58,108405,16183,633,14549,1774,1
2535,144,0,3653,54,98235,60,50,150996,28645,808,2625,2794,1
4026,127,0,7406,20,65015,38,20,68336,2566,187,400,1004,0
3193,137,0,4008,61,104215,40,58,145322,24354,956,0,2321,1
3195,150,0,4115,69,152075,57,101,291678,22007,1621,3572,3509,1
1836,97,0,2573,5,49105,40,40,65286,4606,701,726,1813,0
2566,147,1,3349,42,105695,58,34,231575,15269,980,17152,3218,0
3245,146,0,3919,40,126975,48,46,212277,12621,1058,5727,2702,1
2473,150,0,3542,34,106660,53,42,172645,7830,1306,21598,3243,0
4819,150,0,9211,23,116990,38,19,142189,5143,517,24708,1576,0
2987,30,0,1795,11,15890,4,1,6239,5365,107,0,400,1
2823,83,0,2665,22,58555,17,36,50701,21794,524,6542,1379,1
4909,147,0,9057,40,107730,44,20,134509,8824,310,250,1538,1
3075,66,0,2942,20,34915,17,2,8963,4578,54,330,837,1
2703,131,1,3424,40,105930,56,84,182869,13645,1216,0,2928,0
2225,93,1,2501,14,54945,51,61,82340,6314,750,753,1824,0
2488,146,0,3715,57,93695,101,32,224934,6294,801,45,3059,0
2998,146,0,3812,41,113690,33,103,143133,27621,1345,3454,2654,1
2591,121,0,3007,23,86095,54,94,143597,11262,1174,90,2425,0
4382,150,0,5433,67,185460,52,40,297272,25738,1353,14941,3221,1
5722,128,0,9082,35,71775,13,19,68980,8165,272,2353,856,1
2806,128,0,3479,42,90650,36,44,119148,20638,916,13034,2214,1
2857,136,0,3942,36,98325,37,33,120824,21552,979,1463,2239,1
2449,131,0,3300,33,79195,66,29,126223,2510,783,400,2421,0
4688,148,0,10008,20,97440,32,19,84405,2211,379,1784,1287,0
6038,150,0,8163,37,161300,25,40,145165,12156,749,4038,1708,1
3536,127,0,3756,39,102625,19,57,91817,24638,1086,65,1942,1
2904,147,0,3723,58,119435,55,30,239364,16877,1296,21068,2926,0
2450,132,0,3208,30,85330,52,48,125529,3165,878,4931,2448,0
1682,61,1,1727,5,28515,22,45,42729,1400,291,258,1222,0
3089,84,0,3889,11,41375,18,8,11239,4263,84,520,898,1
2860,106,0,3141,39,74790,16,97,81977,19862,643,538,1671,1
5373,143,1,7755,22,105810,18,38,96021,15350,525,5996,1255,1
2670,138,1,3559,40,107570,61,89,161209,7679,798,1800,2817,0
3103,150,0,4355,57,137130,58,45,167974,24044,1321,5802,2877,1
3028,141,1,4027,60,103205,37,70,164867,23695,948,1380,2371,1
6187,150,0,9768,56,160760,32,20,179780,17727,471,1441,1627,1
4792,145,0,7934,12,96280,31,33,80556,5933,394,3165,1260,0
6247,150,1,10617,36,203585,64,18,267968,10232,669,0,2183,0
2745,111,0,2974,45,80210,24,52,108870,19197,562,5199,1913,1
6310,145,0,8053,13,117170,20,40,82001,19960,760,2131,1283,1
