Index,Radiant_GPM,Dire_GPM,Radiant_XPM,Dire_XPM,Leaver_status,Result,Radiant_Win
0,1656,3257,1785,2795,0,Dire,0
1,6032,2929,8447,3613,0,Radiant,1
2,2783,1999,3690,2248,1,Radiant,0
3,5296,2804,9126,3207,0,Radiant,0
4,2385,2836,3088,3599,0,Dire,0
5,5067,1849,7946,2619,0,Radiant,1
6,2765,2088,3234,3102,0,Radiant,1
7,2653,2643,3947,3555,0,Radiant,1
8,2786,2101,2732,2667,0,Radiant,1
9,2777,1655,3735,1903,0,Radiant,0
10,2581,2791,2919,3815,0,Dire,1
11,4909,1947,9216,2140,0,Radiant,0
12,2991,5199,3331,9061,1,Dire,1
13,2361,2397,2239,2866,0,Dire,1
14,2684,2460,3905,2954,0,Radiant,0
15,2263,6091,2754,8220,0,Dire,0
16,2993,2038,4041,2153,1,Radiant,0
17,3458,2312,3722,2337,1,Radiant,1
18,2154,5295,2889,7475,0,Dire,0
19,2380,1949,3222,2034,0,Radiant,0
20,2891,2031,3522,2771,0,Radiant,1
21,2821,2891,3616,3131,1,Draw,0
22,2687,3113,3357,3840,0,Dire,1
23,2534,2827,2859,3782,0,Dire,1
24,2884,3078,4250,4203,0,Draw,0
25,2157,2854,2447,3667,0,Dire,0
26,2358,2722,3298,3668,0,Dire,1
27,2742,3120,3409,3906,0,Dire,1
28,3036,2690,3740,2908,0,Radiant,1
29,6154,2599,9008,2945,0,Radiant,1
30,3061,4829,3752,6715,1,Dire,1
31,2609,2733,3670,3479,0,Draw,1
32,2101,3001,2425,3945,0,Dire,1
33,2883,2293,3541,2596,1,Radiant,0
34,3556,2054,4840,3209,0,Radiant,0
35,2759,2972,3056,4125,1,Dire,1
36,2535,2655,3653,3587,0,Draw,1
37,4026,2879,7406,3844,0,Radiant,0
38,3193,1941,4008,1619,1,Radiant,1
39,3195,3249,4115,4166,0,Dire,1
40,1836,2581,2573,3394,0,Dire,0
41,2566,3280,3349,4252,0,Dire,0
42,3245,2216,3919,2881,0,Radiant,1
43,2473,3986,3542,5112,0,Dire,0
44,4819,2134,9211,2955,0,Radiant,0
45,2987,3129,1795,3689,0,Dire,1
46,2823,1858,2665,2463,0,Radiant,1
47,4909,5054,9057,9205,0,Dire,1
48,3075,2720,2942,2951,0,Draw,1
49,2703,2672,3424,3566,0,Draw,0
50,2225,2701,2501,3709,0,Dire,0
51,2488,3423,3715,4306,0,Dire,0
52,2998,2675,3812,2852,0,Radiant,1
53,2591,1830,3007,2373,0,Radiant,0
54,4382,2778,5433,3016,0,Radiant,1
55,5722,2549,9082,3831,0,Radiant,1
56,2806,3698,3479,3159,0,Draw,1
57,2857,2140,3942,2617,0,Radiant,1
58,2449,3653,3300,3958,0,Dire,0
59,4688,1961,10008,2640,0,Radiant,0
60,6038,2633,8163,3081,0,Radiant,1
61,3536,2520,3756,3833,0,Draw,1
62,2904,2886,3723,3703,0,Radiant,0
63,2450,5145,3208,9375,0,Dire,0
64,1682,2693,1727,3556,0,Dire,0
65,3089,2506,3889,3212,1,Radiant,1
66,2860,2926,3141,3575,0,Dire,1
67,5373,2583,7755,3336,0,Radiant,1
68,2670,2385,3559,3484,0,Radiant,0
69,3103,3214,4355,4119,0,Draw,1
70,3028,2193,4027,1794,1,Radiant,1
71,6187,5654,9768,8701,0,Radiant,1
72,4792,2513,7934,3466,0,Radiant,0
73,6247,1760,10617,2381,0,Radiant,0
74,2745,3080,2974,3052,1,Dire,1
75,6310,5683,8053,8194,0,Draw,1
76,2851,2992,3653,3748,0,Dire,1
77,5372,2986,9609,3676,0,Radiant,0
78,2764,5975,3661,7218,0,Dire,1
79,1890,2850,2420,3161,0,Dire,0
80,1924,5896,2486,10327,1,Dire,0
81,5140,2851,8423,4128,0,Radiant,0
82,2493,2758,3423,3952,0,Dire,0
83,2901,3277,3806,3508,0,Draw,1
84,2201,3093,2847,3992,0,Dire,1
85,4062,2771,5862,3589,0,Radiant,0
86,2954,6686,5521,9165,0,Dire,0
87,2026,3011,2861,3237,0,Dire,0
88,2815,1998,3907,2823,0,Radiant,1
89,2408,6195,3135,9838,0,Dire,0
90,2300,2676,3130,3432,0,Dire,0
91,2016,2911,2294,3874,0,Dire,0
92,4352,2642,7050,3317,0,Radiant,0
93,5543,2626,7389,3786,1,Radiant,1
94,2142,2698,2747,2969,0,Dire,0
95,2605,2443,3838,3413,0,Radiant,0
96,2447,1965,3009,2254,0,Radiant,0
97,2753,3007,3939,1544,0,Draw,1
98,3091,1943,4192,2408,0,Radiant,1
99,2748,2840,4126,3495,0,Draw,0
100,2897,2272,3860,1798,1,Radiant,1
101,2441,2349,3420,3370,0,Radiant,1
102,2595,5257,3030,7859,0,Dire,0
103,2606,2737,3808,3139,0,Draw,0
104,2501,5567,3309,8694,0,Dire,0
105,5631,2660,9958,3417,1,Radiant,1
106,2764,2430,3813,3233,0,Radiant,1
107,2682,2876,4172,3288,0,Draw,1
108,3024,6021,4037,8816,0,Dire,1
109,2708,2688,3964,2761,0,Radiant,1
110,2361,2789,3002,3734,0,Dire,1
111,3195,2973,3882,4044,0,Draw,1
112,607,5781,949,7674,0,Dire,0
113,2354,2871,3141,3831,0,Dire,0
114,6046,2329,9303,2862,0,Radiant,0
115,2835,1844,3131,2148,0,Radiant,1
116,4882,2342,8545,2940,0,Radiant,1
117,2410,3636,3020,3934,0,Dire,1
118,2693,2669,3565,3319,0,Radiant,1
119,2732,3093,3760,3513,0,Draw,1
120,4964,2495,8682,3412,0,Radiant,1
121,3071,6169,4385,9542,0,Dire,1
122,2576,3094,3413,3807,0,Dire,1
123,3065,3051,4266,4226,0,Radiant,1
124,2493,6343,3959,8901,0,Dire,0
125,3013,2453,3595,3179,0,Radiant,1
126,3165,6044,3957,8569,0,Dire,1
127,2780,2847,3605,4116,1,Dire,1
128,6197,2667,10673,3628,0,Radiant,1
129,2625,3117,3217,3553,0,Dire,0
130,2898,2655,3868,3284,0,Radiant,1
